Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,,Corsair,Voyager 16GB,478,7.34,318,https://usb.userbenchmark.com/SpeedTest/4854/Corsair-Voyager
USB,,Lexar,JD Secure II + 8GB,479,7.21,37,https://usb.userbenchmark.com/SpeedTest/1811/Lexar-JD-Secure-II--
USB,,SanDisk,Ultra USB 2.0 64GB,480,7.19,56,https://usb.userbenchmark.com/SpeedTest/5190/SanDisk-Ultra
USB,,Ut165,USB2FlashStorage 16GB,481,7.13,41,https://usb.userbenchmark.com/SpeedTest/5311/Ut165-USB2FlashStorage
USB,,JetFlash,Transcend 8GB,482,7.1,4013,https://usb.userbenchmark.com/SpeedTest/1298/JetFlash-Transcend-8GB
USB,,SanDisk,U3 Titanium 4GB,483,7.06,150,https://usb.userbenchmark.com/SpeedTest/2741/SanDisk-U3-Titanium
USB,,,SanDisk 32GB,484,7,164,https://usb.userbenchmark.com/SpeedTest/3611/SanDisk
USB,,Intenso,Rainbow Line 64GB,485,6.98,19,https://usb.userbenchmark.com/SpeedTest/3522/Intenso-Rainbow-Line
USB,,SanDisk,Cruzer Micro 8GB,486,6.95,202,https://usb.userbenchmark.com/SpeedTest/1106/SanDisk-Cruzer-Micro
USB,,DaneElec,Z Mate 16GB,487,6.95,23,https://usb.userbenchmark.com/SpeedTest/2831/DaneElec-Z-Mate-16GB
USB,,Kingston,DataTraveler 102 16GB,488,6.93,82,https://usb.userbenchmark.com/SpeedTest/2282/Kingston-DataTraveler-102
USB,,SanDisk,U3 Cruzer Micro 8GB,489,6.91,393,https://usb.userbenchmark.com/SpeedTest/3433/SanDisk-U3-Cruzer-Micro
USB,,SanDisk,U3 Cruzer Micro 16GB,490,6.91,225,https://usb.userbenchmark.com/SpeedTest/3226/SanDisk-U3-Cruzer-Micro
USB,,TOSHIBA,USB DRV 8GB,491,6.89,428,https://usb.userbenchmark.com/SpeedTest/3556/TOSHIBA-TOSHIBA-USB-DRV
