Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,,Samsung,HD400LJ 400GB,686,32.1,804,https://hdd.userbenchmark.com/SpeedTest/4474/SAMSUNG-HD400LJ
HDD,,Maxtor,STM3160815AS 160GB,687,32.1,1209,https://hdd.userbenchmark.com/SpeedTest/6381/MAXTOR-STM3160815AS
HDD,,Fujitsu,MJA2320BH G2 320GB,688,32.1,544,https://hdd.userbenchmark.com/SpeedTest/3975/FUJITSU-MJA2320BH-G2
HDD,,Seagate,ST3200820AS 200GB,689,32,786,https://hdd.userbenchmark.com/SpeedTest/2833/ST3200820AS
HDD,WD3200BPVT,WD,Blue 2.5" 320GB (2010),690,32,12539,https://hdd.userbenchmark.com/SpeedTest/2595/WDC-WD3200BPVT-75JJ5T0
HDD,,WD,WD3200AVVS-63L2B0 320GB,691,31.9,2780,https://hdd.userbenchmark.com/SpeedTest/5116/WDC-WD3200AVVS-63L2B0
HDD,,Fujitsu,MHZ2160BJ FFS G2 160GB,692,31.9,63,https://hdd.userbenchmark.com/SpeedTest/3938/FUJITSU-MHZ2160BJ-FFS-G2
HDD,,Toshiba,MK3276GSX 320GB,693,31.9,1822,https://hdd.userbenchmark.com/SpeedTest/7284/TOSHIBA-MK3276GSX
HDD,,Toshiba,MK6475GSX 640GB,694,31.9,4522,https://hdd.userbenchmark.com/SpeedTest/3809/TOSHIBA-MK6475GSX
HDD,,Maxtor,7V300F0 300GB,695,31.9,112,https://hdd.userbenchmark.com/SpeedTest/8427/Maxtor-7V300F0
HDD,,Maxtor,STM3200820AS 200GB,696,31.9,156,https://hdd.userbenchmark.com/SpeedTest/4619/MAXTOR-STM3200820AS
HDD,,Hitachi,HTS723225L9A362 250GB,697,31.8,88,https://hdd.userbenchmark.com/SpeedTest/4098/Hitachi-HTS723225L9A362
HDD,,Seagate,ST332082 0SCE 320GB,698,31.8,54,https://hdd.userbenchmark.com/SpeedTest/4800/ST332082-0SCE
HDD,,WD,WD5000AAJB-00YRA0 500GB,699,31.7,82,https://hdd.userbenchmark.com/SpeedTest/6902/WDC-WD5000AAJB-00YRA0
HDD,,Maxtor,6V300F0 300GB,700,31.7,771,https://hdd.userbenchmark.com/SpeedTest/2286/Maxtor-6V300F0
