Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,PX-512M8SeY,Plextor,M8Se NVMe PCIe M.2 512GB,104,142,85,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,PX-512M8SeG,Plextor,M8Se NVMe PCIe M.2 512GB,104,142,85,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,PX-512M8SeGN,Plextor,M8Se NVMe PCIe M.2 512GB,104,142,85,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,KXG50ZNV512G,Toshiba,XG5 NVMe PCIe M.2 512GB,105,141,10447,https://ssd.userbenchmark.com/SpeedTest/359770/KXG50ZNV512G-NVMe-TOSHIBA-512GB
SSD,PX-1TM8SeY,Plextor,M8Se NVMe PCIe M.2 1TB,106,140,38,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG
SSD,PX-1TM8SeG,Plextor,M8Se NVMe PCIe M.2 1TB,106,140,38,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG
SSD,PX-1TM8SeGN,Plextor,M8Se NVMe PCIe M.2 1TB,106,140,38,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG
SSD,SA1000M8/480G,Kingston,A1000 NVMe PCIe M.2 480GB,107,140,2551,https://ssd.userbenchmark.com/SpeedTest/492906/KINGSTON-SA1000M8480G
SSD,2YY42AA#ABC,HP,EX900 NVMe PCIe M.2 120GB,108,138,248,https://ssd.userbenchmark.com/SpeedTest/489362/HP-SSD-EX900-120GB
SSD,CSSD-F120GBMP500,Corsair,Force MP500 NVMe PCIe M.2 120GB,109,138,4958,https://ssd.userbenchmark.com/SpeedTest/221057/Force-MP500
SSD,SA1000M8/960G,Kingston,A1000 NVMe PCIe M.2 960GB,110,138,311,https://ssd.userbenchmark.com/SpeedTest/495225/KINGSTON-SA1000M8960G
SSD,PX-256M8SeY,Plextor,M8Se NVMe PCIe M.2 256GB,111,136,167,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG
SSD,PX-256M8SeG,Plextor,M8Se NVMe PCIe M.2 256GB,111,136,167,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG
SSD,PX-256M8SeGN,Plextor,M8Se NVMe PCIe M.2 256GB,111,136,167,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG
SSD,MDNVME80-SBX-1T,MyDigitalSSD,SBX NVMe PCIe M.2 1TB,112,136,17,https://ssd.userbenchmark.com/SpeedTest/455228/SBX
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB,113,136,3101,https://ssd.userbenchmark.com/SpeedTest/37633/NVMe-PM951-NVMe-SAMSU
SSD,ASX8000NP-256GM-C,Adata,XPG SX8000 NVMe PCIe M.2 256GB,114,134,1428,https://ssd.userbenchmark.com/SpeedTest/209005/NVMe-ADATA-SX8000NP
SSD,MDNVME80-SBX-0512,MyDigitalSSD,SBX NVMe PCIe M.2 512GB,115,134,98,https://ssd.userbenchmark.com/SpeedTest/438137/SBX
SSD,WDS512G1X0C,WD,Black NVMe PCIe M.2 512GB (2017),116,131,5694,https://ssd.userbenchmark.com/SpeedTest/251339/WDC-WDS512G1X0C-00ENX0
SSD,SHPM2280P2/240G,Kingston,HyperX Predator AHCI PCIe M.2 240GB,117,131,3725,https://ssd.userbenchmark.com/SpeedTest/26065/Kingston-SHPM2280P2240G
SSD,SSDPEKKW128G8XT,Intel,760p Series NVMe PCIe M.2 128GB,118,130,525,https://ssd.userbenchmark.com/SpeedTest/446913/INTEL-SSDPEKKW128G8
SSD,MZHPU256HCGL,Samsung,XP941 PCIe M.2 256GB,119,129,1608,https://ssd.userbenchmark.com/SpeedTest/4625/SAMSUNG-MZHPU256HCGL-00000
SSD,SSDPEKKW512G7X1,Intel,600p Series NVMe PCIe M.2 512GB,120,128,9440,https://ssd.userbenchmark.com/SpeedTest/168978/INTEL-SSDPEKKW512G7
SSD,KXG50ZNV256G,Toshiba,XG5 NVMe PCIe M.2 256GB,121,127,14071,https://ssd.userbenchmark.com/SpeedTest/358656/KXG50ZNV256G-NVMe-TOSHIBA-256GB
SSD,ASX7000NP-512GT-C,Adata,XPG SX7000 NVMe PCIe M.2 512GB,122,127,1207,https://ssd.userbenchmark.com/SpeedTest/318275/NVMe-ADATA-SX7000NP
SSD,PX-128M8PeG,Plextor,M8Pe NVMe PCIe M.2 128GB,123,127,244,https://ssd.userbenchmark.com/SpeedTest/171560/PLEXTOR-PX-128M8PeG
SSD,PX-AG256M6e,Plextor,M6e PCIe 256GB,124,126,329,https://ssd.userbenchmark.com/SpeedTest/7265/PLEXTOR-PX-AG256M6e
SSD,ASX6000NP-1TT-C,Adata,XPG SX6000 NVMe PCIe M.2 1TB,125,126,71,https://ssd.userbenchmark.com/SpeedTest/471014/ADATA-SX6000NP
SSD,ASX6000NP-512GT-C,Adata,XPG SX6000 NVMe PCIe M.2 512GB,126,123,1271,https://ssd.userbenchmark.com/SpeedTest/410831/ADATA-SX6000NP
SSD,WDS256G1X0C,WD,Black NVMe PCIe M.2 256GB (2017),127,122,10760,https://ssd.userbenchmark.com/SpeedTest/237667/WDC-WDS256G1X0C-00ENX0
SSD,MZHPU512HCGL,Samsung,XP941 PCIe M.2 512GB,128,122,732,https://ssd.userbenchmark.com/SpeedTest/4874/SAMSUNG-MZHPU512HCGL-00000
SSD,,Toshiba, THNSN5512GPUK NVMe PCIe M.2 512GB,129,121,9314,https://ssd.userbenchmark.com/SpeedTest/160272/NVMe-THNSN5512GPUK-NV
SSD,,Samsung,PM951 NVMe PCIe M.2 256GB,130,121,5533,https://ssd.userbenchmark.com/SpeedTest/37673/NVMe-PM951-NVMe-SAMSU
SSD,ASX6000NP-256GT-C,Adata,XPG SX6000 NVMe PCIe M.2 256GB,131,118,3108,https://ssd.userbenchmark.com/SpeedTest/387986/ADATA-SX6000NP
SSD,SSDPEKKF360G7X1,Intel,Pro 6000p NVMe PCIe M.2 360GB,132,118,453,https://ssd.userbenchmark.com/SpeedTest/296966/INTEL-SSDPEKKF360G7H
SSD,MDNVME80-SBX-0256,MyDigitalSSD,SBX NVMe PCIe M.2 256GB,133,118,98,https://ssd.userbenchmark.com/SpeedTest/456332/SBX
SSD,MZ-76E1T0B,Samsung,860 Evo 1TB,134,118,50089,https://ssd.userbenchmark.com/SpeedTest/423831/Samsung-SSD-860-EVO-1TB
SSD,MZ-75E2T0B,Samsung,850 Evo 2TB,135,117,3120,https://ssd.userbenchmark.com/SpeedTest/32539/Samsung-SSD-850-EVO-2TB
SSD,PX-G256M6e,Plextor,M6e  PCIe M.2 256GB,136,116,876,https://ssd.userbenchmark.com/SpeedTest/12059/PLEXTOR-PX-G256M6e
SSD,MZ-76E2T0B,Samsung,860 Evo 2TB,137,116,2300,https://ssd.userbenchmark.com/SpeedTest/430706/Samsung-SSD-860-EVO-2TB
SSD,ASX8000NP-128GM-C,Adata,XPG SX8000 NVMe PCIe M.2 128GB,138,116,96,https://ssd.userbenchmark.com/SpeedTest/214181/NVMe-ADATA-SX8000NP
SSD,CSSD-F240GBMP300,Corsair,Force MP300 NVMe PCIe M.2 240GB,139,115,712,https://ssd.userbenchmark.com/SpeedTest/538791/NVMe-Force-MP300
SSD,SSDPEKKF512G7X1,Intel,Pro 6000p NVMe PCIe M.2 512GB,140,115,1053,https://ssd.userbenchmark.com/SpeedTest/289714/INTEL-SSDPEKKF512G7H
SSD,MZ-76P1T0B,Samsung,860 Pro 1TB,141,115,946,https://ssd.userbenchmark.com/SpeedTest/434505/Samsung-SSD-860-PRO-1TB
SSD,,Samsung,MZFLV512 NVMe PCIe M.2 512GB,142,115,1047,https://ssd.userbenchmark.com/SpeedTest/36829/NVMe-SAMSUNG-MZFLV512
SSD,PX-AG512M6e,Plextor,M6e PCIe 512GB,143,115,87,https://ssd.userbenchmark.com/SpeedTest/14616/PLEXTOR-PX-AG512M6e
SSD,SSDPEKKW256G7X1,Intel,600p Series NVMe PCIe M.2 256GB,144,114,27246,https://ssd.userbenchmark.com/SpeedTest/169054/INTEL-SSDPEKKW256G7
